Usia,Jenis_Kelamin,Pendidikan_Terakhir,Pekerjaan,Status_Perkawinan,Jumlah_Anak,Penghasilan_Bulanan,Kota_Tinggal,NIK
40,Perempuan,SD,Pengangguran,Belum Kawin,0,12968973,Pelabuhan Ratu,1842091925215398
54,Laki-laki,SD,Pelajar,Cerai,5,18271489,Sukabumi,0419621131253123
85,Perempuan,Pascasarjana,Kuli,Belum Kawin,5,19741790,Pelabuhan Ratu,9832716906191948
64,Perempuan,SD,Dokter,Belum Kawin,1,8953073,Sukabumi,6478512126281456
48,Laki-laki,Diploma,Kuli,Kawin,0,7864041,Jampang,3307704748803999
55,Laki-laki,Pascasarjana,Pegawai Negeri,Cerai,0,1492149,Jampang,3724351378779388
52,Perempuan,Diploma,Pelajar,Cerai,1,10293668,Jampang,7081027021002308
3,Perempuan,SD,Pegawai Negeri,Cerai,0,529021,Jampang,9131868125271883
75,Laki-laki,Diploma,Petani,Kawin,2,15615085,Pelabuhan Ratu,2573682462455018
53,Perempuan,SMA,Petani,Kawin,1,3198524,Pelabuhan Ratu,3402100816568161
87,Perempuan,SD,Petani,Cerai,0,6326603,Parungkuda,1658439936108394
38,Laki-laki,SD,Pegawai Negeri,Cerai,2,6676725,Cibadak,9145694063190331
58,Laki-laki,Sarjana,Pelajar,Kawin,4,7831590,Cibadak,9928871699812061
41,Perempuan,SD,Pelajar,Kawin,0,19431208,Parungkuda,9500607241664380
14,Perempuan,Pascasarjana,Pegawai Negeri,Cerai,3,10070228,Jampang,8123375146430898
76,Perempuan,SMA,Pelajar,Cerai,3,19086234,Parungkuda,6506023809481268
41,Laki-laki,SMP,Kuli,Kawin,2,18997778,Cisaat,9054073703907354
60,Perempuan,SMA,Pegawai Negeri,Belum Kawin,4,9560116,Cisaat,6722021087802962
7,Laki-laki,Pascasarjana,Petani,Kawin,4,4662519,Cibadak,0580263053427722
36,Perempuan,Pascasarjana,Pengangguran,Kawin,4,6510171,Jampang,0774792605603793
76,Laki-laki,SMA,Petani,Cerai,4,18008752,Sukabumi,6853958930404566
65,Laki-laki,SD,Kuli,Cerai,3,18136689,Cibadak,8369957513534376
73,Perempuan,SMA,Petani,Cerai,2,7854819,Cibadak,0262504264013417
54,Laki-laki,SD,Petani,Belum Kawin,0,15392708,Pelabuhan Ratu,9908392628921605
57,Laki-laki,Sarjana,Guru,Cerai,0,18004443,Parungkuda,3931509811083443
48,Laki-laki,Sarjana,Pegawai Negeri,Kawin,5,1230803,Parungkuda,2626998064128166
29,Perempuan,SD,Pengangguran,Kawin,0,10498867,Pelabuhan Ratu,2769179128953483
71,Perempuan,SMP,Pengangguran,Cerai,0,7672618,Pelabuhan Ratu,8924594653028572
88,Laki-laki,SD,Dokter,Cerai,0,2557379,Cisaat,1744003814212776
51,Laki-laki,Diploma,Dokter,Belum Kawin,1,4313174,Parungkuda,7076618711831277
55,Laki-laki,SD,Pelajar,Kawin,3,1855295,Cisaat,2627450487605734
89,Laki-laki,SMP,Guru,Belum Kawin,1,6799615,Parungkuda,3727954024868909
23,Laki-laki,Diploma,Petani,Kawin,2,13806401,Pelabuhan Ratu,9984533291502413
15,Perempuan,Diploma,Pengangguran,Kawin,1,17338631,Jampang,8227267982815435
85,Perempuan,Diploma,Pengangguran,Kawin,1,5049883,Cisaat,5084873210386781
79,Laki-laki,Sarjana,Petani,Cerai,3,16449310,Jampang,0038390253188613
63,Laki-laki,SD,Guru,Kawin,3,8123196,Pelabuhan Ratu,2702199247401450
25,Laki-laki,SMA,Pelajar,Belum Kawin,5,4486598,Parungkuda,8487380241355303
49,Laki-laki,Sarjana,Guru,Cerai,0,17265920,Jampang,1488265765425150
44,Perempuan,Sarjana,Pegawai Negeri,Kawin,1,19513177,Cisaat,3898551582393567
84,Perempuan,Diploma,Guru,Kawin,3,7052084,Sukabumi,6659860115999293
10,Perempuan,SMP,Pelajar,Cerai,2,3751697,Cisaat,3024192561174132
9,Laki-laki,SMA,Dokter,Cerai,5,9665788,Pelabuhan Ratu,4163012925394454
4,Laki-laki,Pascasarjana,Pelajar,Kawin,5,8294933,Parungkuda,2435905679226603
68,Perempuan,SMA,Dokter,Cerai,3,17161317,Parungkuda,6952808685567889
9,Laki-laki,Diploma,Pelajar,Cerai,0,7086557,Sukabumi,8296587566844689
34,Perempuan,SD,Pegawai Negeri,Kawin,2,16693515,Jampang,5653682712716589
56,Perempuan,SD,Pengangguran,Cerai,5,1114720,Parungkuda,7787768896944460
11,Perempuan,SMA,Dokter,Cerai,3,4624127,Parungkuda,1992248316766764
53,Perempuan,SMP,Petani,Kawin,1,4478190,Parungkuda,1039232960080370
14,Laki-laki,Sarjana,Pengangguran,Cerai,5,10100923,Sukabumi,3614570973064204
67,Laki-laki,Sarjana,Kuli,Cerai,3,10597606,Parungkuda,2922532215464634
34,Perempuan,Diploma,Pengangguran,Belum Kawin,0,14144619,Pelabuhan Ratu,2478874991178324
16,Laki-laki,Sarjana,Guru,Cerai,5,17037668,Jampang,4405511891684320
4,Perempuan,SMA,Pegawai Negeri,Kawin,4,12056025,Cibadak,1798430122316571
82,Perempuan,SMA,Pegawai Negeri,Cerai,3,12523466,Jampang,9258566997845437
62,Laki-laki,Diploma,Dokter,Cerai,4,3832505,Cibadak,4595600189518857
74,Perempuan,Diploma,Pelajar,Cerai,4,17938378,Cibadak,7135894661843646
48,Perempuan,SMA,Pelajar,Belum Kawin,1,16229834,Jampang,9553890610971346
88,Laki-laki,Sarjana,Petani,Belum Kawin,0,3950427,Cibadak,1191222210700442
36,Perempuan,SMP,Petani,Kawin,0,11523657,Cisaat,6191025318213447
2,Perempuan,SD,Petani,Belum Kawin,3,10368099,Sukabumi,4592257090428923
31,Laki-laki,Sarjana,Pegawai Negeri,Cerai,5,13555402,Pelabuhan Ratu,3429665842132079
48,Perempuan,SMA,Guru,Cerai,4,16646536,Pelabuhan Ratu,7014003188984268
48,Laki-laki,Pascasarjana,Pengangguran,Belum Kawin,2,3558827,Pelabuhan Ratu,5173834948125251
15,Perempuan,Pascasarjana,Dokter,Cerai,4,5179217,Jampang,2019684231541469
63,Laki-laki,Sarjana,Guru,Kawin,0,19041312,Cisaat,2440137579815483
56,Laki-laki,Diploma,Pelajar,Belum Kawin,1,3520685,Sukabumi,2330089465059918
7,Perempuan,Diploma,Pelajar,Kawin,1,19404943,Cisaat,8931434155740689
56,Laki-laki,Sarjana,Pegawai Negeri,Belum Kawin,1,954542,Parungkuda,1397337174117598
33,Perempuan,Sarjana,Pelajar,Kawin,2,2022750,Parungkuda,4676248702032506
23,Perempuan,Sarjana,Pelajar,Kawin,3,11128285,Sukabumi,8656343674906628
23,Laki-laki,Sarjana,Dokter,Belum Kawin,0,14401833,Cisaat,9994851507247519
52,Perempuan,SMP,Pengangguran,Cerai,0,8846776,Parungkuda,4712647195825678
2,Perempuan,SD,Petani,Kawin,2,11245324,Jampang,3709271153881735
9,Perempuan,SMP,Pengangguran,Kawin,2,14126486,Jampang,1785883530027714
13,Laki-laki,SD,Guru,Cerai,3,18355905,Cibadak,0660107546852961
81,Perempuan,Pascasarjana,Pegawai Negeri,Kawin,4,18031962,Cibadak,3684314930379464
74,Laki-laki,SMA,Pelajar,Cerai,5,18217303,Jampang,5541278850504775
11,Laki-laki,Pascasarjana,Pegawai Negeri,Belum Kawin,3,18929403,Cisaat,6639677505146291
51,Laki-laki,SD,Petani,Kawin,1,12612757,Cisaat,3198683742706368
18,Laki-laki,SD,Guru,Cerai,1,1359345,Sukabumi,2004932983675566
3,Laki-laki,SMA,Pelajar,Belum Kawin,3,15930479,Cibadak,8203351265028166
83,Laki-laki,SMA,Pegawai Negeri,Kawin,0,8589491,Cibadak,8453268481799854
69,Laki-laki,SMA,Petani,Kawin,4,16598902,Cibadak,5846163399549742
3,Perempuan,Sarjana,Petani,Kawin,3,19180674,Jampang,4521694264136068
1,Laki-laki,SMA,Petani,Belum Kawin,1,13718209,Pelabuhan Ratu,2093177372570331
28,Perempuan,Sarjana,Kuli,Cerai,5,19454688,Parungkuda,3816234756412164
64,Perempuan,SD,Kuli,Cerai,5,18819885,Jampang,3836182747835515
52,Laki-laki,SMP,Petani,Kawin,4,19448414,Parungkuda,0486704781248446
18,Laki-laki,Pascasarjana,Kuli,Belum Kawin,1,12609182,Parungkuda,2536537813516719
3,Laki-laki,SD,Pelajar,Belum Kawin,5,14676068,Parungkuda,8171544129675978
0,Laki-laki,Pascasarjana,Dokter,Kawin,2,5949923,Pelabuhan Ratu,6431542192110820
48,Laki-laki,Sarjana,Dokter,Belum Kawin,1,16994278,Pelabuhan Ratu,6838527035985115
75,Perempuan,Sarjana,Pengangguran,Cerai,3,15603938,Pelabuhan Ratu,6321385661450278
28,Perempuan,Pascasarjana,Pelajar,Cerai,5,18825221,Parungkuda,5950783147729766
73,Laki-laki,SMA,Dokter,Kawin,0,12570069,Sukabumi,3525815533954678
42,Laki-laki,Diploma,Pengangguran,Belum Kawin,4,7194887,Pelabuhan Ratu,3535718815255009
17,Perempuan,Diploma,Guru,Belum Kawin,3,13246167,Cibadak,2787992093256523
1,Perempuan,Diploma,Pelajar,Kawin,4,11073691,Jampang,0178105335847935
8,Laki-laki,Pascasarjana,Pengangguran,Belum Kawin,2,16345366,Pelabuhan Ratu,5478596389761030
70,Perempuan,SD,Guru,Belum Kawin,3,9442318,Pelabuhan Ratu,7406785559561985
46,Laki-laki,Pascasarjana,Pegawai Negeri,Cerai,5,8983702,Jampang,0705607249799752
47,Laki-laki,SD,Kuli,Kawin,4,19270888,Parungkuda,5511576545595799
58,Perempuan,Sarjana,Guru,Belum Kawin,0,3634979,Cisaat,8893537032422208
34,Perempuan,Sarjana,Kuli,Cerai,5,14983392,Jampang,0410596428191093
45,Laki-laki,Diploma,Pelajar,Cerai,5,14810700,Jampang,4733982764463991
83,Perempuan,SMP,Guru,Kawin,2,19638485,Sukabumi,2491551984451716
42,Perempuan,Diploma,Pelajar,Cerai,4,2848452,Cisaat,6506612153109574
62,Laki-laki,SMA,Pelajar,Belum Kawin,3,5863913,Sukabumi,9003390524902664
34,Laki-laki,Sarjana,Pengangguran,Cerai,1,12605083,Cibadak,4387793486749667
63,Laki-laki,Diploma,Dokter,Belum Kawin,5,11957203,Sukabumi,5418750574019212
71,Perempuan,SMA,Pengangguran,Cerai,4,3888342,Cibadak,5988254927476211
46,Laki-laki,SMP,Pelajar,Cerai,4,5355580,Jampang,3627318752867235
89,Perempuan,SMP,Pelajar,Belum Kawin,4,18485297,Pelabuhan Ratu,5865795133099174
48,Laki-laki,Diploma,Kuli,Cerai,4,2842009,Cisaat,5603501729142550
82,Laki-laki,Sarjana,Dokter,Kawin,5,10797224,Parungkuda,6247919890292401
44,Perempuan,SMA,Dokter,Belum Kawin,5,9477281,Jampang,0206532452964702
73,Perempuan,Diploma,Kuli,Belum Kawin,3,9145047,Sukabumi,2456521863944468
66,Laki-laki,SMP,Pegawai Negeri,Kawin,5,2154884,Cisaat,5512238579486319
85,Perempuan,SMA,Guru,Kawin,4,11776151,Sukabumi,7615145008920741
15,Perempuan,Diploma,Pegawai Negeri,Belum Kawin,0,18003539,Jampang,2718002830286630
16,Laki-laki,Pascasarjana,Pengangguran,Belum Kawin,2,8143785,Jampang,0221260542935066
16,Laki-laki,SD,Dokter,Belum Kawin,2,16694768,Pelabuhan Ratu,2077744876093439
24,Laki-laki,SD,Guru,Kawin,5,12250763,Cisaat,0173108013376815
17,Perempuan,SD,Pengangguran,Kawin,4,836528,Sukabumi,9820633240455249
3,Perempuan,Sarjana,Pelajar,Cerai,4,10593670,Sukabumi,8631445926002396
57,Laki-laki,Diploma,Pegawai Negeri,Belum Kawin,4,7533601,Pelabuhan Ratu,2484150130619298
25,Perempuan,SD,Kuli,Belum Kawin,5,4909993,Cisaat,1405964254402002
20,Laki-laki,Pascasarjana,Kuli,Kawin,4,6665233,Cibadak,5984122262526316
41,Laki-laki,Sarjana,Kuli,Kawin,4,14908382,Jampang,4498613569841072
45,Laki-laki,SMA,Pengangguran,Belum Kawin,4,7569442,Jampang,7411709621227128
20,Perempuan,SD,Dokter,Cerai,1,14290154,Sukabumi,8571355711186143
85,Laki-laki,SMA,Guru,Kawin,0,10134305,Parungkuda,1241510361134446
71,Laki-laki,SMA,Dokter,Cerai,3,3173254,Jampang,0617357580473484
57,Perempuan,SMA,Kuli,Cerai,4,5640515,Jampang,4120973732046562
81,Laki-laki,SMA,Kuli,Cerai,5,12253803,Pelabuhan Ratu,3182625187181595
86,Laki-laki,SMA,Pengangguran,Belum Kawin,0,1839182,Sukabumi,0316131256016396
66,Perempuan,Diploma,Petani,Kawin,0,6260759,Jampang,7986019365935542
6,Perempuan,SMP,Pengangguran,Cerai,0,5781030,Parungkuda,9544660325114328
50,Laki-laki,SMA,Petani,Cerai,1,5085742,Sukabumi,7012396346765037
82,Perempuan,SMP,Pengangguran,Belum Kawin,2,16940344,Sukabumi,0947412662139339
19,Laki-laki,Sarjana,Dokter,Cerai,4,7821683,Cibadak,4240724315559484
80,Laki-laki,Pascasarjana,Guru,Cerai,4,12921518,Cibadak,9622774199590612
42,Perempuan,Pascasarjana,Guru,Kawin,2,8044679,Pelabuhan Ratu,7737664940215511
68,Laki-laki,SMA,Guru,Cerai,4,13119416,Pelabuhan Ratu,2073003075376054
15,Laki-laki,Pascasarjana,Guru,Cerai,5,14349937,Cisaat,0532199942536633
1,Perempuan,Pascasarjana,Pegawai Negeri,Belum Kawin,3,8239511,Parungkuda,6259204044885318
22,Perempuan,Diploma,Pengangguran,Kawin,3,5677178,Parungkuda,7812741189169148
45,Laki-laki,Diploma,Dokter,Belum Kawin,2,16092624,Sukabumi,1682994031490335
45,Perempuan,Sarjana,Kuli,Belum Kawin,2,17842797,Parungkuda,1168487975347061
15,Perempuan,Pascasarjana,Dokter,Belum Kawin,4,14692898,Cisaat,1138720852539731
17,Perempuan,SMA,Pengangguran,Belum Kawin,5,19470846,Cibadak,6478626954158626
56,Perempuan,SMP,Guru,Cerai,5,16502961,Pelabuhan Ratu,1492927411040591
75,Perempuan,Sarjana,Pelajar,Cerai,3,12927498,Jampang,1530458430872082
86,Laki-laki,Sarjana,Dokter,Cerai,0,3823054,Jampang,0066209126066994
44,Perempuan,Pascasarjana,Kuli,Kawin,1,17474404,Pelabuhan Ratu,2530518652913651
29,Perempuan,Diploma,Petani,Kawin,5,18570538,Cisaat,7682684780112350
39,Perempuan,Diploma,Petani,Cerai,3,13242935,Sukabumi,5198374757823939
29,Laki-laki,SMP,Kuli,Cerai,5,7538158,Jampang,7255174993166176
52,Laki-laki,SMA,Pegawai Negeri,Belum Kawin,3,15307240,Cisaat,7419648014141800
62,Laki-laki,Sarjana,Pengangguran,Cerai,2,7450232,Cibadak,1343061312351325
42,Perempuan,SD,Pegawai Negeri,Cerai,3,16558634,Cibadak,9308045803451249
13,Perempuan,Pascasarjana,Pengangguran,Cerai,2,2752981,Cibadak,1990124331482015
6,Laki-laki,Sarjana,Guru,Belum Kawin,1,10833165,Parungkuda,9800659404305470
70,Laki-laki,SD,Pegawai Negeri,Cerai,2,16051703,Pelabuhan Ratu,8475666222205648
75,Laki-laki,Diploma,Dokter,Cerai,4,10553941,Cibadak,6036728235067135
54,Laki-laki,SMA,Pegawai Negeri,Cerai,4,14627719,Parungkuda,8232535460437330
59,Laki-laki,Diploma,Pelajar,Kawin,1,2841278,Jampang,5430728343592847
83,Laki-laki,SD,Dokter,Cerai,0,11239476,Parungkuda,6917261043298849
5,Laki-laki,SD,Kuli,Kawin,1,9840757,Cibadak,7550412627280353
41,Laki-laki,SMA,Guru,Belum Kawin,1,17664067,Parungkuda,3576934276279012
52,Perempuan,SD,Pelajar,Belum Kawin,5,18293102,Pelabuhan Ratu,2307194544028770
41,Laki-laki,SD,Dokter,Cerai,2,3950879,Jampang,3538835692359600
81,Perempuan,SMP,Petani,Kawin,0,19616548,Parungkuda,3744580280499919
69,Laki-laki,Diploma,Pegawai Negeri,Kawin,5,17004012,Pelabuhan Ratu,6187707133763643
77,Laki-laki,SMA,Guru,Kawin,1,17810214,Jampang,8748670346781358
24,Laki-laki,SMP,Dokter,Belum Kawin,4,2944155,Jampang,8629892155297370
51,Perempuan,Sarjana,Pegawai Negeri,Cerai,4,17163789,Cisaat,6769525072513602
67,Laki-laki,SMA,Petani,Kawin,2,19435222,Sukabumi,9155795054882254
50,Perempuan,Pascasarjana,Petani,Kawin,0,12633650,Parungkuda,8802340230448710
86,Perempuan,SMA,Petani,Belum Kawin,4,18072389,Sukabumi,2864375857013285
49,Perempuan,SMP,Pengangguran,Cerai,1,15816282,Jampang,0847449282785637
29,Perempuan,Sarjana,Pelajar,Belum Kawin,5,2849098,Parungkuda,0757352198653651
54,Perempuan,SD,Pelajar,Belum Kawin,1,18772937,Cisaat,5274884567614100
34,Perempuan,SD,Pelajar,Kawin,0,19377817,Parungkuda,8915382481113889
63,Perempuan,SMP,Pegawai Negeri,Belum Kawin,3,14469762,Cisaat,5092816616673442
67,Laki-laki,SMP,Pelajar,Kawin,4,7253220,Sukabumi,9441131208618559
79,Laki-laki,SMA,Petani,Belum Kawin,3,5501180,Cisaat,7155788846113504
76,Laki-laki,SMP,Petani,Cerai,4,3387654,Parungkuda,1741912290481649
44,Perempuan,SMA,Kuli,Belum Kawin,1,19234546,Cisaat,5556621846033470
47,Perempuan,SMA,Dokter,Belum Kawin,3,7939401,Cibadak,8448927161724286
70,Laki-laki,SMA,Pelajar,Cerai,3,7888591,Sukabumi,4133045505802198
83,Laki-laki,Sarjana,Petani,Cerai,0,16261990,Parungkuda,9603177596962536
29,Perempuan,SMA,Dokter,Kawin,1,3040262,Parungkuda,3206869256673690
40,Laki-laki,SD,Dokter,Belum Kawin,1,10670375,Cibadak,8816208333832074
18,Perempuan,SMP,Pegawai Negeri,Kawin,2,6989407,Jampang,7073099035342913
69,Perempuan,Pascasarjana,Dokter,Cerai,1,5694342,Cibadak,6751019999948086
61,Laki-laki,Diploma,Pengangguran,Cerai,3,11049864,Cisaat,7369741823916790
56,Perempuan,SMA,Guru,Belum Kawin,2,7775593,Pelabuhan Ratu,5538659034988336
63,Perempuan,SMA,Pengangguran,Belum Kawin,1,5075423,Pelabuhan Ratu,3678551409028538
67,Perempuan,Pascasarjana,Kuli,Belum Kawin,2,15453442,Jampang,0614877433039073
70,Perempuan,SMA,Kuli,Cerai,3,1674289,Parungkuda,0022617024920835
15,Laki-laki,SMA,Pegawai Negeri,Kawin,1,7113001,Sukabumi,4763871576031513
1,Perempuan,Sarjana,Petani,Cerai,5,10359456,Jampang,8365293147006417
11,Perempuan,Diploma,Pelajar,Kawin,0,1580623,Pelabuhan Ratu,9632913082127439
0,Laki-laki,SMP,Guru,Kawin,4,14359210,Jampang,4060665432151248
23,Laki-laki,Diploma,Pegawai Negeri,Belum Kawin,1,16142649,Cisaat,4634949623872519
3,Laki-laki,Sarjana,Pelajar,Kawin,4,10510603,Jampang,6630306747714468
45,Laki-laki,Sarjana,Pelajar,Kawin,2,1795818,Pelabuhan Ratu,6749315425796090
4,Laki-laki,Sarjana,Petani,Belum Kawin,4,6522155,Jampang,5021575684697150
32,Laki-laki,Diploma,Dokter,Belum Kawin,5,5548612,Pelabuhan Ratu,1211298299404678
54,Laki-laki,Diploma,Kuli,Belum Kawin,1,19072047,Parungkuda,4466505055127231
43,Laki-laki,SMA,Pengangguran,Cerai,5,9770703,Pelabuhan Ratu,5068922156965962
74,Laki-laki,Sarjana,Petani,Kawin,0,15340756,Pelabuhan Ratu,7585824437912229
87,Laki-laki,SMA,Pelajar,Belum Kawin,4,9981910,Cibadak,5764559102009514
56,Laki-laki,Diploma,Kuli,Belum Kawin,2,18762636,Jampang,0360286371808930
1,Laki-laki,SD,Dokter,Cerai,5,6692788,Cibadak,4532615873393649
27,Laki-laki,Pascasarjana,Guru,Kawin,3,5960458,Cisaat,2280108229526043
79,Laki-laki,SMP,Guru,Cerai,1,8805708,Cibadak,0879371265593166
50,Perempuan,SMP,Kuli,Kawin,3,12568800,Sukabumi,7821740784049591
19,Laki-laki,Pascasarjana,Guru,Cerai,3,2331873,Parungkuda,7578519378078819
86,Perempuan,Sarjana,Kuli,Cerai,5,1454304,Parungkuda,2129046625474647
56,Laki-laki,Sarjana,Dokter,Belum Kawin,3,8137757,Parungkuda,1555573065858991
49,Perempuan,SD,Pegawai Negeri,Cerai,4,2898048,Sukabumi,5797638675118518
45,Laki-laki,SMP,Guru,Cerai,3,9617390,Pelabuhan Ratu,8980125291049250
26,Laki-laki,SMA,Kuli,Kawin,3,6713825,Jampang,0428428457038180
60,Laki-laki,SMP,Kuli,Cerai,1,7596746,Sukabumi,8821363881905195
11,Perempuan,Diploma,Pengangguran,Cerai,2,4368986,Cisaat,1552385012459731
30,Perempuan,Diploma,Petani,Belum Kawin,2,6206027,Sukabumi,7215410151080093
73,Perempuan,Diploma,Pengangguran,Kawin,3,16988936,Pelabuhan Ratu,8189405213151011
82,Laki-laki,Sarjana,Pelajar,Cerai,3,9277824,Sukabumi,3422311632134158
32,Laki-laki,Diploma,Petani,Belum Kawin,3,13805065,Jampang,7142573298651442
0,Perempuan,SMA,Pegawai Negeri,Belum Kawin,5,9873570,Jampang,9418888916941559
6,Laki-laki,SD,Pelajar,Cerai,3,7058628,Jampang,3803985148607272
64,Laki-laki,Sarjana,Dokter,Belum Kawin,0,15256858,Jampang,9337657908223095
19,Perempuan,SMP,Pengangguran,Kawin,3,1368874,Cisaat,1456664889952808
11,Perempuan,Diploma,Guru,Belum Kawin,5,18004502,Sukabumi,3913559935280279
64,Perempuan,SD,Pengangguran,Kawin,2,2314445,Jampang,0356657474329243
6,Laki-laki,SMP,Pengangguran,Belum Kawin,1,10709276,Pelabuhan Ratu,0767558760016114
64,Perempuan,Pascasarjana,Pelajar,Cerai,2,5398995,Cibadak,0994095029151432
70,Perempuan,Pascasarjana,Dokter,Cerai,0,7075573,Cibadak,8238597010744354
11,Perempuan,Sarjana,Pegawai Negeri,Kawin,2,4699535,Pelabuhan Ratu,6745566453069050
54,Perempuan,Diploma,Pengangguran,Kawin,5,18192802,Parungkuda,1087462570058346
48,Laki-laki,Sarjana,Kuli,Kawin,0,19857939,Jampang,6620558072504013
59,Perempuan,Pascasarjana,Pelajar,Belum Kawin,4,15082921,Pelabuhan Ratu,8215437194221816
27,Laki-laki,SMA,Pengangguran,Cerai,3,14259690,Sukabumi,3299662008023162
32,Laki-laki,SMA,Pelajar,Kawin,0,1016334,Jampang,0945457484605587
40,Laki-laki,Diploma,Pegawai Negeri,Belum Kawin,5,12815291,Sukabumi,3710946784507884
13,Perempuan,SD,Pengangguran,Belum Kawin,3,12766758,Parungkuda,9120295875836422
86,Perempuan,SMA,Petani,Belum Kawin,4,15367944,Cibadak,8166649771127999
38,Perempuan,SMA,Dokter,Cerai,2,3905543,Pelabuhan Ratu,5001867943331673
42,Perempuan,Diploma,Pengangguran,Kawin,2,7357978,Parungkuda,2274260469717363
66,Perempuan,SMP,Guru,Cerai,1,1457832,Cisaat,3229375224941761
10,Laki-laki,SMP,Pelajar,Cerai,3,8017411,Sukabumi,9121429300437102
70,Laki-laki,SMA,Kuli,Kawin,5,609220,Cibadak,5489233456186524
7,Laki-laki,Pascasarjana,Kuli,Belum Kawin,2,17939278,Parungkuda,0176985506598060
16,Perempuan,Sarjana,Kuli,Kawin,3,13569247,Sukabumi,2545153424289222
52,Perempuan,SMA,Dokter,Belum Kawin,2,6920943,Parungkuda,6492737194554752
21,Laki-laki,Diploma,Pelajar,Kawin,2,19556772,Cibadak,8220038087547847
68,Perempuan,SMA,Pengangguran,Belum Kawin,4,15779110,Jampang,8552694332879231
26,Perempuan,Diploma,Pegawai Negeri,Cerai,0,16363309,Cisaat,0363733056809997
13,Perempuan,SD,Petani,Belum Kawin,2,977639,Sukabumi,5183650788490094
86,Laki-laki,SD,Petani,Kawin,4,4925197,Sukabumi,9726364381008863
42,Laki-laki,Diploma,Kuli,Belum Kawin,1,1224695,Cisaat,5421962184861096
48,Laki-laki,Sarjana,Dokter,Belum Kawin,5,8287920,Cisaat,7460654645659364
49,Perempuan,Diploma,Pengangguran,Cerai,5,5696746,Sukabumi,7948755000250284
86,Perempuan,Pascasarjana,Petani,Cerai,3,8101769,Cibadak,5109681578168160
3,Perempuan,SD,Kuli,Kawin,4,5697702,Pelabuhan Ratu,9012870532180306
48,Perempuan,SMA,Guru,Kawin,3,18896825,Parungkuda,6894358234646865
49,Perempuan,SMA,Pengangguran,Kawin,4,3820830,Cisaat,3112902106951051
