Usia,Jenis_Kelamin,Pendidikan_Terakhir,Pekerjaan,Status_Perkawinan,Jumlah_Anak,Penghasilan_Bulanan,Kota_Tinggal,NIK
28,Laki-laki,SMA,Mahasiswa,Kawin,5,2739580,Sukabumi,6083207867354469
35,Perempuan,Diploma,Pengangguran,Kawin,0,17655221,Cisaat,1944305308435521
27,Laki-laki,Sarjana,Pelajar,Belum Kawin,2,13195650,Jampang,5893642028305489
36,Perempuan,SMP,PNS,Kawin,0,17228265,Sukabumi,4104281764760631
33,Laki-laki,Diploma,Mahasiswa,Kawin,5,14345236,Cibadak,9933707374821040
36,Perempuan,SD,Guru,Belum Kawin,5,6021570,Jampang,6125873510225003
33,Laki-laki,Sarjana,Pelajar,Belum Kawin,1,7256852,Cibadak,7490810908897052
36,Perempuan,Pascasarjana,Pelajar,Cerai,4,3190967,Cibadak,5901234478510717
31,Laki-laki,Sarjana,Mahasiswa,Belum Kawin,4,11745979,Jampang,7963131273907161
34,Perempuan,Diploma,Pelajar,Cerai,3,11386621,Cisaat,0215582026314291
35,Perempuan,SD,Pelajar,Belum Kawin,0,17850308,Sukabumi,2606065018955669
39,Perempuan,SD,PNS,Kawin,0,16787919,Cibadak,3856886804647961
23,Laki-laki,SMA,Mahasiswa,Cerai,1,6422985,Pelabuhan Ratu,5865965691121473
34,Laki-laki,SMA,Kuli,Kawin,4,13210268,Jampang,7221661699222567
23,Perempuan,Pascasarjana,Guru,Cerai,1,16794806,Sukabumi,3293525622359817
36,Laki-laki,Sarjana,Pengangguran,Belum Kawin,0,7150518,Parungkuda,9167071355813250
34,Perempuan,Diploma,Pengangguran,Cerai,3,10981746,Cibadak,5080430774511597
34,Perempuan,SMA,Guru,Belum Kawin,5,3107215,Cisaat,2650852541753916
36,Perempuan,Pascasarjana,Pelajar,Kawin,5,7012016,Cisaat,3143307132519291
26,Laki-laki,Sarjana,Mahasiswa,Belum Kawin,4,11997059,Cibadak,1993506563212845
33,Perempuan,Diploma,Guru,Cerai,4,7620085,Jampang,9019374173147972
22,Laki-laki,SMP,Mahasiswa,Belum Kawin,4,10120090,Cisaat,5709193940737905
22,Laki-laki,Diploma,Kuli,Belum Kawin,5,2327326,Cisaat,6254616705396326
22,Laki-laki,Diploma,Pelajar,Belum Kawin,4,5774596,Pelabuhan Ratu,7438153769570876
26,Laki-laki,Diploma,Pengangguran,Cerai,2,13328153,Cisaat,0377173236477660
30,Perempuan,Diploma,PNS,Belum Kawin,4,12331344,Jampang,5016290440540862
29,Perempuan,SMA,PNS,Kawin,4,12021527,Jampang,8832536428060113
26,Perempuan,SMP,Kuli,Kawin,0,18178176,Sukabumi,6597132774982392
24,Laki-laki,Sarjana,Guru,Kawin,5,15330703,Cisaat,0563022563741488
34,Laki-laki,Sarjana,Pengangguran,Belum Kawin,2,6051920,Sukabumi,5339456808154257
23,Laki-laki,SD,Kuli,Kawin,1,13614420,Cisaat,0474073687345623
34,Perempuan,SD,Guru,Belum Kawin,0,6866927,Cibadak,0901177684001458
35,Laki-laki,SD,PNS,Cerai,5,14043917,Pelabuhan Ratu,6207345064747710
28,Perempuan,SMA,Guru,Belum Kawin,4,13512045,Pelabuhan Ratu,8146820483533542
28,Perempuan,Sarjana,Pelajar,Kawin,4,5334643,Parungkuda,7775075421770612
37,Perempuan,Diploma,Pengangguran,Belum Kawin,1,2095449,Parungkuda,6343202288791912
29,Perempuan,SMP,Kuli,Kawin,4,8621622,Cisaat,8232168559912700
24,Perempuan,SMP,Guru,Belum Kawin,4,10461334,Parungkuda,6312044291903996
37,Perempuan,Sarjana,Pengangguran,Cerai,3,16335044,Jampang,1774915536993012
29,Laki-laki,Diploma,Pelajar,Cerai,3,3277269,Parungkuda,7944911459602303
24,Perempuan,SMA,Mahasiswa,Cerai,0,15855356,Parungkuda,0347618949794278
25,Laki-laki,Sarjana,Guru,Belum Kawin,5,12452439,Cisaat,5120634743269818
26,Perempuan,Diploma,Mahasiswa,Kawin,2,10261015,Cisaat,5822248508349863
28,Laki-laki,Diploma,Mahasiswa,Belum Kawin,0,19219449,Sukabumi,7602189933319681
36,Perempuan,Sarjana,PNS,Kawin,0,3916143,Sukabumi,7592317316078731
29,Perempuan,SD,Mahasiswa,Belum Kawin,4,5400189,Cisaat,8947521156875174
30,Perempuan,Diploma,Pelajar,Cerai,5,9642777,Cisaat,9222379105631957
27,Laki-laki,SMA,Mahasiswa,Cerai,5,4161054,Sukabumi,0933316842811126
27,Laki-laki,Diploma,Kuli,Belum Kawin,1,13391885,Sukabumi,0230171157457340
33,Perempuan,Sarjana,Kuli,Kawin,0,1334295,Cisaat,9136435978405245
30,Laki-laki,Pascasarjana,Mahasiswa,Kawin,0,14792568,Cisaat,1823144686299491
32,Laki-laki,SD,PNS,Kawin,2,7553966,Jampang,7144679821038692
34,Perempuan,Pascasarjana,PNS,Cerai,5,5641929,Parungkuda,3622479209066927
23,Laki-laki,SMA,Kuli,Kawin,3,18416063,Cibadak,9249767668034711
35,Perempuan,Diploma,Kuli,Belum Kawin,2,15099146,Jampang,0262735951559830
25,Laki-laki,Diploma,Pengangguran,Kawin,5,9669687,Jampang,2782007305984258
39,Laki-laki,Sarjana,Mahasiswa,Belum Kawin,1,6553120,Pelabuhan Ratu,5321118181800826
38,Laki-laki,Diploma,Guru,Cerai,4,18085663,Jampang,3474089487806808
36,Perempuan,SMP,Kuli,Kawin,4,9181827,Parungkuda,0387317620392695
38,Laki-laki,SMA,Pengangguran,Belum Kawin,5,19881406,Pelabuhan Ratu,2728461628716597
25,Laki-laki,Diploma,Pelajar,Kawin,3,4660681,Jampang,0616297619643314
36,Laki-laki,SMP,PNS,Cerai,4,10803406,Pelabuhan Ratu,9828315958131554
27,Laki-laki,Diploma,Pelajar,Kawin,5,1234384,Cisaat,3438656888109834
33,Laki-laki,Pascasarjana,Kuli,Kawin,3,11498927,Parungkuda,7609348578392096
26,Laki-laki,Sarjana,Pelajar,Belum Kawin,0,15610391,Jampang,7573946664688179
37,Laki-laki,Diploma,Mahasiswa,Belum Kawin,0,17002382,Parungkuda,6301205881394695
23,Perempuan,Sarjana,Guru,Belum Kawin,3,15745022,Cibadak,3436208897638755
33,Laki-laki,Diploma,PNS,Kawin,5,2432404,Parungkuda,7159808728887800
22,Laki-laki,SD,Pengangguran,Cerai,0,6694953,Cisaat,5601415122598527
24,Laki-laki,SMA,Pelajar,Kawin,2,1875306,Cibadak,2595275283683740
24,Laki-laki,Pascasarjana,Mahasiswa,Belum Kawin,4,18475276,Cisaat,8602608466464479
33,Perempuan,Pascasarjana,Guru,Cerai,5,12703020,Jampang,7234982943794087
39,Perempuan,Pascasarjana,Mahasiswa,Belum Kawin,1,11846716,Jampang,3658050066481030
30,Perempuan,Sarjana,Guru,Cerai,4,7759319,Cibadak,2398108063424631
25,Laki-laki,Diploma,PNS,Belum Kawin,3,19510369,Parungkuda,8627843094296458
24,Laki-laki,Pascasarjana,Guru,Kawin,4,16189575,Sukabumi,1308596402095272
38,Laki-laki,Diploma,Guru,Kawin,1,16715922,Jampang,6937961037432767
36,Laki-laki,Pascasarjana,Kuli,Cerai,1,15834950,Sukabumi,7554816393879527
22,Perempuan,Sarjana,Kuli,Kawin,0,6848104,Jampang,4574386065311261
32,Perempuan,Pascasarjana,Mahasiswa,Kawin,3,7284483,Pelabuhan Ratu,4446944111315572
31,Laki-laki,SMP,Pengangguran,Kawin,0,12423130,Jampang,1792598906570173
29,Perempuan,Diploma,Kuli,Kawin,4,8919914,Parungkuda,9208772697382125
38,Perempuan,SD,PNS,Cerai,4,19192878,Jampang,5819319556677209
23,Perempuan,Diploma,Pengangguran,Cerai,3,6494414,Jampang,5988564375753134
27,Laki-laki,SMP,PNS,Cerai,5,3124333,Parungkuda,9484452178006756
24,Laki-laki,Pascasarjana,Pelajar,Belum Kawin,1,14561860,Cisaat,5363323985515100
28,Perempuan,Sarjana,PNS,Cerai,2,6792881,Cibadak,5275498427825020
39,Laki-laki,Pascasarjana,Pelajar,Kawin,0,6526526,Jampang,2891371981464038
35,Perempuan,Sarjana,PNS,Belum Kawin,3,19349036,Parungkuda,5700800401534640
25,Perempuan,SD,Guru,Cerai,4,15319618,Sukabumi,3384973585803553
35,Laki-laki,SD,PNS,Kawin,2,16044211,Pelabuhan Ratu,4892406079250590
27,Perempuan,Diploma,Guru,Belum Kawin,0,4656033,Pelabuhan Ratu,4809925180215889
34,Perempuan,SD,Mahasiswa,Kawin,5,14146521,Cibadak,2508229025667575
27,Perempuan,SD,Mahasiswa,Belum Kawin,1,1081776,Jampang,6702467527138428
32,Perempuan,SD,Mahasiswa,Belum Kawin,4,19326470,Pelabuhan Ratu,1363547488482386
35,Laki-laki,Diploma,PNS,Cerai,5,8616285,Cisaat,8650333601066795
28,Laki-laki,SMA,Pengangguran,Belum Kawin,3,12927971,Pelabuhan Ratu,6414645967273064
25,Perempuan,Pascasarjana,PNS,Cerai,3,3230060,Sukabumi,0652246135492983
39,Perempuan,Pascasarjana,PNS,Kawin,0,9869808,Jampang,3150123390382667
30,Laki-laki,SMP,Pelajar,Kawin,1,18291778,Parungkuda,0711198152726999
38,Laki-laki,SD,Pengangguran,Cerai,1,16241439,Parungkuda,2441463338537150
31,Perempuan,Pascasarjana,PNS,Belum Kawin,0,17508411,Sukabumi,3505399892008152
24,Perempuan,Diploma,Pelajar,Kawin,0,6396091,Parungkuda,4178397279929119
34,Perempuan,SMA,Pelajar,Cerai,2,5131724,Cisaat,3572110162920866
30,Laki-laki,Pascasarjana,PNS,Belum Kawin,3,8631494,Parungkuda,9961170274001352
39,Laki-laki,Diploma,Pelajar,Belum Kawin,0,4944276,Sukabumi,9836560227863638
36,Perempuan,SD,Pengangguran,Kawin,0,19218640,Jampang,2838095494334271
29,Laki-laki,SMP,Pelajar,Belum Kawin,0,1486858,Cibadak,9386458121550672
26,Laki-laki,SMP,Kuli,Belum Kawin,5,10616328,Pelabuhan Ratu,4351725550678259
37,Laki-laki,Pascasarjana,Pengangguran,Cerai,0,15806760,Sukabumi,7153993616873655
32,Laki-laki,SMP,Pelajar,Belum Kawin,1,8922420,Pelabuhan Ratu,6324843352622970
25,Perempuan,SMP,Guru,Cerai,5,10919775,Parungkuda,6840111034813045
29,Perempuan,Pascasarjana,Kuli,Kawin,3,16263615,Cisaat,3149740155885147
32,Perempuan,Sarjana,Pengangguran,Belum Kawin,4,2081761,Cibadak,0817929106643406
37,Perempuan,SMP,Pengangguran,Kawin,3,10548742,Sukabumi,0348715832275875
33,Perempuan,Pascasarjana,Pelajar,Belum Kawin,4,18704802,Parungkuda,2842331014336054
30,Perempuan,Sarjana,Kuli,Belum Kawin,2,14055476,Parungkuda,5406751170039912
28,Laki-laki,SD,Pengangguran,Kawin,1,3584183,Cisaat,0043325750237311
23,Perempuan,SMA,Kuli,Belum Kawin,3,16549808,Cisaat,3048065826283937
26,Laki-laki,Diploma,Pelajar,Cerai,5,7249867,Jampang,9561936210198324
31,Laki-laki,SD,Guru,Cerai,1,17372908,Cibadak,2333631627496558
30,Laki-laki,SD,Pengangguran,Cerai,1,15222227,Cibadak,2803147898284466
32,Laki-laki,Sarjana,Guru,Kawin,2,13254330,Pelabuhan Ratu,7303183242197319
25,Perempuan,Sarjana,Guru,Kawin,0,563459,Cisaat,0627338318643858
23,Laki-laki,SMA,PNS,Belum Kawin,4,6011072,Pelabuhan Ratu,9585466006142156
38,Laki-laki,Sarjana,Mahasiswa,Cerai,4,6449107,Jampang,3366959925346919
25,Laki-laki,SD,Pengangguran,Cerai,1,526017,Pelabuhan Ratu,3225857041082178
38,Laki-laki,Diploma,Kuli,Belum Kawin,3,15279296,Cibadak,9859722590613671
34,Perempuan,Pascasarjana,Pengangguran,Cerai,5,13267952,Pelabuhan Ratu,7447458275550158
30,Laki-laki,Pascasarjana,Pelajar,Kawin,2,19359138,Sukabumi,6789670542839333
23,Laki-laki,Pascasarjana,Kuli,Belum Kawin,2,10345276,Sukabumi,1944422990591054
30,Perempuan,Diploma,Kuli,Cerai,0,11715766,Parungkuda,6924877147728763
23,Laki-laki,Pascasarjana,Mahasiswa,Kawin,0,16129130,Cisaat,9894274709706941
28,Perempuan,SD,PNS,Cerai,4,13955608,Sukabumi,9341972436612256
33,Perempuan,Pascasarjana,Guru,Kawin,5,6507440,Cisaat,8652949219631576
37,Laki-laki,SMP,Kuli,Cerai,2,17186381,Parungkuda,3508551584418762
33,Laki-laki,SMA,Mahasiswa,Kawin,2,17764212,Cibadak,0514238465775302
33,Laki-laki,Pascasarjana,Pelajar,Belum Kawin,2,12258766,Cisaat,0204643475173121
25,Laki-laki,Sarjana,Mahasiswa,Cerai,0,18392308,Sukabumi,0502611985855366
28,Perempuan,SMP,Pelajar,Kawin,2,13423417,Cibadak,5592184120610446
33,Perempuan,Diploma,Guru,Kawin,1,2321352,Jampang,6335628719184612
30,Perempuan,Sarjana,Pelajar,Belum Kawin,1,15452396,Cibadak,5426758257916510
37,Laki-laki,SD,Guru,Kawin,1,19319291,Cisaat,4034717154419976
28,Perempuan,Sarjana,Pengangguran,Kawin,3,14619647,Sukabumi,4548825514549817
37,Perempuan,Sarjana,Pelajar,Cerai,5,14521132,Cibadak,1394594633048715
38,Perempuan,Diploma,Mahasiswa,Belum Kawin,1,14258995,Jampang,5469779284461268
36,Laki-laki,Diploma,PNS,Kawin,2,7595437,Cisaat,5170191844864145
23,Laki-laki,SMA,PNS,Kawin,2,4913112,Sukabumi,7296261884976773
31,Laki-laki,Pascasarjana,PNS,Kawin,5,17671716,Cibadak,3026135157476744
29,Laki-laki,SD,PNS,Cerai,3,12230286,Sukabumi,7810014703184656
33,Laki-laki,Pascasarjana,Pelajar,Belum Kawin,4,5526038,Cibadak,2144426563795271
26,Perempuan,SD,Mahasiswa,Kawin,2,14057530,Parungkuda,3666168978178464
30,Perempuan,SMA,Guru,Kawin,2,15162100,Parungkuda,3976898610985762
25,Laki-laki,SMP,Pelajar,Cerai,2,15070412,Jampang,2229600384803365
30,Laki-laki,Pascasarjana,PNS,Belum Kawin,0,15257288,Jampang,2645885099890766
28,Perempuan,SMP,Mahasiswa,Kawin,0,19686271,Sukabumi,9632583289093576
35,Laki-laki,SMP,Guru,Kawin,0,936890,Pelabuhan Ratu,8238750550715172
39,Perempuan,Sarjana,Pelajar,Kawin,5,12191467,Pelabuhan Ratu,4122061905216005
36,Perempuan,SMA,Kuli,Belum Kawin,0,17025027,Jampang,7469840902437421
27,Perempuan,Sarjana,Mahasiswa,Belum Kawin,0,3717370,Sukabumi,3540834985360369
29,Laki-laki,SMA,PNS,Kawin,3,1493896,Jampang,8334000084035153
39,Perempuan,SMP,Pengangguran,Cerai,5,19296750,Sukabumi,4391707493154766
28,Laki-laki,Diploma,Pelajar,Cerai,0,4849181,Cisaat,9871725439118654
38,Laki-laki,Pascasarjana,PNS,Kawin,2,4424213,Parungkuda,1395681280491115
25,Perempuan,Pascasarjana,Guru,Cerai,0,6208623,Sukabumi,9075802365609518
22,Laki-laki,Diploma,Guru,Cerai,5,15504786,Pelabuhan Ratu,3663865141127472
27,Perempuan,Sarjana,PNS,Cerai,5,14163877,Jampang,7751216277984080
23,Laki-laki,Diploma,Pelajar,Cerai,5,11319905,Cisaat,0115867502843821
22,Perempuan,Pascasarjana,Pelajar,Cerai,5,12964315,Pelabuhan Ratu,6279268113888764
30,Laki-laki,Diploma,Mahasiswa,Cerai,0,19726548,Cibadak,1883330179962399
31,Perempuan,Diploma,Mahasiswa,Belum Kawin,3,3233452,Jampang,0870582996611613
28,Perempuan,SMA,Kuli,Cerai,3,11535575,Cisaat,1829174926669824
24,Perempuan,SMP,PNS,Belum Kawin,2,8982682,Jampang,8781244395481536
31,Perempuan,SMA,Kuli,Cerai,2,7348078,Parungkuda,5348886008535618
22,Perempuan,Diploma,Kuli,Cerai,4,16401666,Cisaat,4614560273518823
23,Laki-laki,SMP,Mahasiswa,Belum Kawin,3,18159532,Sukabumi,1794660648573656
34,Laki-laki,Sarjana,Pengangguran,Cerai,4,19399712,Jampang,3324660334533067
31,Perempuan,SMA,Guru,Cerai,0,726276,Jampang,8215011675787755
35,Laki-laki,Diploma,Pengangguran,Kawin,3,8246933,Parungkuda,6742919166938326
25,Perempuan,Pascasarjana,Mahasiswa,Kawin,4,4466536,Jampang,7810309805384284
29,Laki-laki,SMA,Guru,Belum Kawin,5,6505074,Parungkuda,4593549250672899
34,Laki-laki,SD,Mahasiswa,Belum Kawin,5,6174618,Cibadak,8022165089063716
39,Perempuan,Sarjana,Kuli,Kawin,3,4806941,Cibadak,3996023412725175
30,Perempuan,Sarjana,Kuli,Belum Kawin,5,16995591,Pelabuhan Ratu,0901537189854587
38,Perempuan,Pascasarjana,Pengangguran,Cerai,0,5887294,Cisaat,4146273587609016
25,Laki-laki,Diploma,Guru,Cerai,2,2448103,Sukabumi,5232871047729744
32,Perempuan,SMA,PNS,Cerai,2,4622589,Cisaat,6735136671184250
23,Laki-laki,Sarjana,Pelajar,Belum Kawin,1,15713468,Sukabumi,6495565469758462
25,Laki-laki,Diploma,Kuli,Kawin,5,6560975,Pelabuhan Ratu,3398824879285754
37,Laki-laki,SD,Pengangguran,Kawin,1,7615337,Cibadak,9790583325603462
25,Perempuan,SD,Pelajar,Kawin,5,1958966,Pelabuhan Ratu,1426057865232786
26,Laki-laki,Pascasarjana,Guru,Belum Kawin,2,14983018,Parungkuda,3845010139622502
31,Perempuan,Pascasarjana,Pengangguran,Kawin,5,16071596,Jampang,8457310883557310
25,Perempuan,SMP,Kuli,Cerai,3,1204774,Sukabumi,5803388528517457
25,Perempuan,SD,Guru,Cerai,5,10976378,Jampang,5988622661090339
30,Laki-laki,Sarjana,PNS,Cerai,1,9178817,Cisaat,1053786457134721
35,Laki-laki,Sarjana,Guru,Kawin,1,18343609,Parungkuda,7719643968155966
32,Perempuan,SMP,Pengangguran,Kawin,0,3605071,Sukabumi,9652693786898000
24,Perempuan,SD,Guru,Kawin,0,13333064,Cisaat,5689159914351679
24,Laki-laki,Diploma,Guru,Kawin,1,7647037,Parungkuda,7669890457938499
24,Laki-laki,Pascasarjana,Mahasiswa,Belum Kawin,4,15619918,Cisaat,9970256658015926
22,Perempuan,SMA,Kuli,Kawin,4,14744672,Pelabuhan Ratu,0014033570308750
22,Perempuan,Sarjana,Pelajar,Belum Kawin,5,7975622,Cibadak,0401780483670690
33,Laki-laki,SD,Pelajar,Cerai,1,10015345,Pelabuhan Ratu,9861330069862015
39,Laki-laki,SD,Mahasiswa,Kawin,3,14725321,Parungkuda,3500326095027431
26,Laki-laki,SMA,Kuli,Kawin,3,17003143,Sukabumi,6982819887038833
31,Laki-laki,SD,Guru,Cerai,5,19696374,Sukabumi,4652454710046330
37,Laki-laki,Sarjana,Pelajar,Belum Kawin,0,7710220,Jampang,3763308434709309
29,Perempuan,Pascasarjana,Guru,Belum Kawin,1,1495469,Cisaat,2014503474785096
35,Perempuan,SD,Pelajar,Belum Kawin,3,1714166,Pelabuhan Ratu,6477452029199067
24,Perempuan,SMA,PNS,Cerai,5,9849391,Cisaat,1589375010708042
25,Laki-laki,SMP,Mahasiswa,Cerai,0,2978321,Pelabuhan Ratu,7341406382998735
31,Laki-laki,SMP,Kuli,Kawin,1,13723395,Pelabuhan Ratu,0229226925063512
33,Perempuan,Diploma,Kuli,Kawin,4,19328746,Jampang,1419101459216582
25,Perempuan,Sarjana,Pelajar,Belum Kawin,0,7958194,Parungkuda,0596056304664597
28,Laki-laki,Diploma,Guru,Cerai,2,13524958,Cisaat,3847190454895681
31,Perempuan,SMP,PNS,Belum Kawin,1,3835524,Cisaat,3603685769230168
34,Laki-laki,Sarjana,PNS,Kawin,0,4063292,Parungkuda,7177452923294056
38,Laki-laki,SMA,Kuli,Kawin,2,11142173,Sukabumi,2130600254330614
26,Perempuan,SD,Pengangguran,Belum Kawin,4,3450768,Jampang,8669998610973485
24,Laki-laki,SMP,Pelajar,Belum Kawin,1,12423148,Parungkuda,0450081883706705
22,Perempuan,SD,Guru,Cerai,4,16667043,Sukabumi,7269652265137087
32,Perempuan,Pascasarjana,Pelajar,Belum Kawin,5,12290470,Cisaat,4023413236925507
26,Laki-laki,SMP,Guru,Belum Kawin,2,5895876,Cibadak,2491536504117631
36,Laki-laki,SMP,Pelajar,Cerai,5,1275314,Sukabumi,6407785838003163
34,Perempuan,Pascasarjana,Guru,Kawin,0,8698077,Parungkuda,2439563629166091
37,Laki-laki,Diploma,Guru,Cerai,2,18676638,Pelabuhan Ratu,2011473037503068
22,Laki-laki,Diploma,Guru,Belum Kawin,3,6010624,Parungkuda,6179672566996702
37,Laki-laki,Pascasarjana,Kuli,Cerai,2,5484839,Jampang,9746610806478252
33,Perempuan,SD,PNS,Cerai,5,2332282,Jampang,1523142548328055
36,Laki-laki,SMP,PNS,Cerai,3,14429194,Jampang,8916666397933196
33,Laki-laki,SMP,Pengangguran,Belum Kawin,2,9111252,Pelabuhan Ratu,5693957080800833
37,Laki-laki,SMA,Kuli,Cerai,3,18316727,Cibadak,1315284804203863
23,Laki-laki,SMP,Guru,Kawin,4,17017730,Parungkuda,0114586782830954
24,Perempuan,Diploma,Guru,Kawin,0,7988525,Parungkuda,6324218052594322
